epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.0071,1.12894,0.35333,1,1.11934,0.000328947,0.000328947,0.0674342
2,29.4287,1.08702,0.4,1,1.1082,0.000649168,0.000649168,0.0344211
3,42.5754,1.07468,0.35333,1,1.11699,0.000956188,0.000956188,0.00139478
4,54.3214,1.07748,0.40333,1,1.09063,0.0009406,0.0009406,0.0009406
5,67.4664,1.03282,0.40333,1,1.12207,0.0009208,0.0009208,0.0009208
6,80.6882,0.98044,0.39333,1,1.28262,0.000901,0.000901,0.000901
7,94.1843,0.99083,0.37,1,1.26055,0.0008812,0.0008812,0.0008812
8,107.324,0.9405,0.4,1,1.22051,0.0008614,0.0008614,0.0008614
9,120.647,0.9131,0.42667,1,1.21289,0.0008416,0.0008416,0.0008416
10,133.628,0.87367,0.38333,1,1.24902,0.0008218,0.0008218,0.0008218
11,145.351,0.85085,0.39667,1,1.39727,0.000802,0.000802,0.000802
12,158.507,0.82962,0.40333,1,1.43926,0.0007822,0.0007822,0.0007822
13,171.694,0.80201,0.40333,1,1.34805,0.0007624,0.0007624,0.0007624
14,184.935,0.79356,0.39,1,1.48613,0.0007426,0.0007426,0.0007426
15,198.073,0.72972,0.43,1,1.47031,0.0007228,0.0007228,0.0007228
16,211.463,0.68949,0.38667,1,1.62812,0.000703,0.000703,0.000703
17,224.01,0.66801,0.39,1,1.59297,0.0006832,0.0006832,0.0006832
18,236.265,0.63911,0.4,1,1.61348,0.0006634,0.0006634,0.0006634
19,249.337,0.61997,0.40667,1,1.68535,0.0006436,0.0006436,0.0006436
20,262.68,0.57548,0.42333,1,1.68691,0.0006238,0.0006238,0.0006238
21,275.785,0.57538,0.42333,1,1.87227,0.000604,0.000604,0.000604
22,289.154,0.53641,0.39,1,1.81816,0.0005842,0.0005842,0.0005842
23,301.929,0.50517,0.43,1,1.93379,0.0005644,0.0005644,0.0005644
24,313.302,0.48297,0.38667,1,2.04434,0.0005446,0.0005446,0.0005446
25,326.09,0.48093,0.37667,1,1.99434,0.0005248,0.0005248,0.0005248
